0 - ['n', 'w', 's', 'f', 'k', 'l', 'b', 'a']
0 - ['w', 'e', 'q', 'o', 'w', 'a', 'v', 'g']
1 - ['a', 'n', 'w', 'q', 'e', 'h', 'f', 'g']
0 - ['f', 'j', 'd', 'e', 'p', 'z', 'n', 'w']
0 - ['j', 'n', 'g', 'h', 't', 'q', 'c', 's']
0 - ['u', 'p', 'a', 'n', 'i', 't', 'q', 'r']
2 - ['w', 'a', 'o', 'j', 'r', 'b', 't', 'r']
1 - ['b', 'o', 'd', 'u', 'b', 'e', 'b', 'o']
1 - ['s', 'u', 'e', 'v', 'j', 'c', 'k', 'd']
0 - ['y', 'n', 'h', 'i', 'j', 'o', 'o', 'k']
0 - ['l', 'u', 'l', 'k', 'q', 't', 'h', 'y']
0 - ['f', 's', 'd', 'a', 'f', 'o', 'b', 'l']
1 - ['h', 'k', 'b', 'k', 'm', 'l', 't', 'y']
2 - ['g', 'z', 'c', 'e', 'w', 'g', 't', 'o']
0 - ['i', 'f', 'a', 'h', 'n', 'a', 'm', 'e']
0 - ['j', 'k', 'n', 'f', 'r', 'w', 'v', 'q']
1 - ['c', 'x', 'n', 'n', 'n', 'd', 'z', 'o']
0 - ['m', 'a', 'a', 'f', 'q', 'i', 'p', 'z']
1 - ['m', 's', 'o', 'x', 'd', 'm', 'k', 'g']
0 - ['g', 'n', 'x', 'p', 'g', 'u', 'e', 'c']
1 - ['z', 'v', 'q', 'y', 'g', 'a', 'j', 'v']
0 - ['g', 'w', 'c', 'i', 'g', 'a', 'k', 'm']
2 - ['v', 's', 't', 'x', 'e', 'w', 't', 't']
0 - ['n', 'k', 'd', 'w', 'k', 'u', 'z', 'k']
1 - ['p', 'k', 's', 'o', 'b', 'u', 's', 'g']
1 - ['u', 'q', 's', 'y', 'p', 'v', 'g', 'n']
0 - ['i', 'y', 'k', 'i', 'q', 'f', 'i', 'c']
1 - ['j', 'y', 'j', 'j', 'e', 'e', 'x', 'y']
0 - ['k', 'h', 'l', 'x', 'h', 'f', 'o', 'w']
0 - ['d', 'a', 'w', 'w', 'f', 'y', 'v', 'i']
0 - ['b', 'p', 'y', 'a', 'z', 'i', 'w', 'e']
0 - ['z', 'z', 'r', 'b', 'z', 'n', 'z', 'b']
0 - ['j', 'z', 'a', 'i', 'p', 'k', 'a', 'g']
1 - ['h', 'q', 'p', 'q', 'p', 'x', 'e', 'o']
1 - ['g', 'a', 'o', 'r', 'i', 'y', 'c', 'a']
0 - ['n', 'w', 'a', 'g', 'j', 'a', 'n', 'k']
0 - ['v', 'm', 'g', 'b', 'z', 'l', 'l', 'd']
1 - ['g', 'j', 'b', 'i', 'l', 'g', 'w', 'o']
0 - ['f', 'b', 'p', 'r', 't', 'k', 'd', 'u']
0 - ['t', 'k', 'v', 't', 'd', 's', 'a', 'y']
1 - ['p', 'm', 'c', 'v', 'u', 'x', 'z', 'b']
0 - ['q', 'b', 'v', 'f', 'b', 'e', 'm', 'd']
1 - ['l', 'r', 'n', 'm', 'y', 'u', 's', 'h']
0 - ['c', 'u', 'p', 'f', 'l', 'x', 'g', 'a']
0 - ['o', 'f', 'w', 'j', 'd', 't', 'u', 'y']
0 - ['r', 'u', 'l', 'f', 'u', 'b', 'j', 'n']
0 - ['b', 'v', 'l', 'd', 'r', 'n', 'z', 'e']
0 - ['q', 'v', 'z', 'n', 's', 'r', 'l', 'p']
1 - ['r', 'j', 'o', 'x', 'm', 'q', 'q', 'r']
0 - ['d', 'f', 'i', 'l', 'p', 'u', 'h', 'w']
0 - ['m', 'k', 'c', 'h', 'v', 'x', 'm', 'e']
1 - ['v', 'a', 'x', 'y', 'k', 'o', 'b', 'r']
0 - ['k', 'a', 'p', 'w', 'o', 'm', 'p', 'q']
0 - ['b', 'j', 'g', 'f', 'f', 'x', 'u', 'r']
0 - ['d', 'm', 'y', 'm', 'l', 't', 'd', 't']
0 - ['y', 'w', 'c', 'k', 'f', 'f', 'x', 'e']
1 - ['s', 'w', 'p', 'a', 'q', 'c', 'z', 't']
1 - ['d', 'l', 'k', 'r', 'e', 'b', 'k', 'f']
0 - ['v', 's', 'r', 's', 'j', 'd', 'u', 'x']
0 - ['q', 'z', 'l', 'q', 'c', 'f', 'g', 'i']
0 - ['o', 'i', 'y', 'l', 'p', 'r', 'f', 's']
0 - ['m', 'p', 'n', 'i', 'm', 'p', 'j', 'b']
0 - ['h', 'i', 'u', 'b', 'l', 'i', 'c', 'g']
1 - ['o', 'x', 'l', 'w', 'r', 'c', 'i', 'e']
0 - ['g', 's', 'l', 'x', 'j', 'q', 'p', 'v']
1 - ['h', 'o', 'b', 'f', 's', 's', 'w', 'o']
0 - ['f', 'z', 'e', 'l', 't', 'u', 'i', 'w']
0 - ['w', 'd', 'n', 'l', 'j', 'r', 'k', 'i']
0 - ['i', 'u', 's', 'p', 'q', 'm', 'm', 'r']
1 - ['m', 'p', 's', 'x', 'i', 'i', 't', 'n']
1 - ['p', 'o', 'q', 'g', 'z', 'u', 'r', 'm']
0 - ['x', 'w', 'j', 'a', 'b', 'g', 'k', 's']
0 - ['d', 'n', 'c', 'k', 'w', 'f', 'c', 'u']
2 - ['p', 'w', 'c', 'y', 's', 'b', 'm', 't']
0 - ['a', 'v', 'p', 'j', 'y', 'j', 'a', 'v']
0 - ['g', 'o', 'u', 'm', 't', 'k', 'd', 'd']
0 - ['z', 'u', 'r', 'm', 'p', 'h', 'd', 'h']
0 - ['q', 'l', 't', 'k', 'm', 'w', 'w', 'j']
1 - ['r', 'z', 'v', 'i', 'e', 'l', 'm', 'n']
2 - ['k', 'r', 'y', 'a', 'e', 'j', 'x', 'h']
1 - ['p', 'f', 'u', 'r', 'c', 'e', 'x', 'l']
0 - ['f', 'y', 'n', 'm', 's', 'm', 'c', 'v']
0 - ['k', 'l', 'h', 'e', 'r', 'b', 'w', 'd']
0 - ['o', 'u', 'm', 'd', 'q', 'j', 'e', 'j']
1 - ['u', 'o', 'u', 'v', 'v', 'm', 'n', 'o']
1 - ['i', 'z', 'w', 'c', 'e', 'k', 'w', 's']
0 - ['s', 'f', 'f', 'o', 'z', 'f', 'd', 't']
0 - ['l', 'o', 'q', 'w', 'u', 'd', 'c', 'y']
0 - ['h', 'n', 's', 'x', 'w', 'p', 'b', 's']
1 - ['d', 'r', 'p', 'o', 'z', 'b', 'r', 'm']
0 - ['z', 'a', 'n', 'h', 'f', 'o', 'g', 'z']
0 - ['d', 's', 'e', 'w', 'b', 'h', 'b', 'k']
0 - ['m', 'u', 'b', 'm', 'x', 's', 'd', 'r']
1 - ['c', 'p', 'a', 'p', 't', 'l', 'm', 'o']
0 - ['s', 's', 'j', 'r', 't', 'u', 'f', 'i']
2 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 'o']
1 - ['h', 'l', 's', 's', 'w', 'p', 'w', 'o']
0 - ['h', 'a', 'z', 't', 'g', 'e', 'u', 'p']
1 - ['e', 'b', 'p', 'w', 'l', 'c', 'e', 'k']
0 - ['m', 'i', 'r', 't', 'q', 'y', 'q', 'l']
1 - ['k', 'r', 'y', 'a', 's', 'b', 'm', 't']
2 - ['a', 'e', 'o', 'a', 'e', 'j', 'x', 'h']
2 - ['p', 'w', 'c', 'a', 'e', 'j', 'i', 'h']
3 - ['p', 'w', 'o', 'z', 'y', 'i', 'e', 'o']
1 - ['k', 'w', 'c', 'y', 's', 'b', 'm', 't']
2 - ['k', 'e', 'o', 'z', 'y', 's', 'e', 'o']
3 - ['k', 'r', 'y', 'l', 'e', 'j', 'e', 'o']
3 - ['k', 'r', 'y', 'a', 'e', 's', 'e', 'o']
2 - ['p', 'w', 'c', 'a', 'e', 'j', 'x', 'h']
3 - ['p', 'w', 'c', 'y', 's', 's', 'e', 'o']
2 - ['p', 'w', 'c', 'y', 's', 'b', 'x', 'h']
3 - ['p', 'w', 'o', 'z', 'y', 's', 'e', 'o']
3 - ['p', 'r', 'y', 'a', 'e', 'j', 'x', 'h']
2 - ['k', 'r', 'y', 'a', 'e', 'j', 'n', 't']
2 - ['k', 'r', 'c', 'y', 's', 'b', 'm', 't']
2 - ['p', 'w', 'c', 'y', 's', 'b', 'x', 'h']
1 - ['a', 'e', 'o', 'z', 'y', 'j', 'x', 'h']
2 - ['p', 'w', 'c', 'a', 'e', 'j', 'x', 'h']
3 - ['k', 'r', 'o', 'z', 'y', 's', 'e', 'o']
1 - ['k', 'w', 'c', 'y', 's', 'b', 'm', 't']
3 - ['p', 'w', 'c', 'y', 's', 's', 'y', 'o']
1 - ['a', 'e', 'o', 'z', 's', 'b', 'm', 't']
2 - ['a', 'e', 'o', 'z', 'e', 'j', 'x', 'h']
0 - ['a', 'e', 'a', 'z', 'y', 'b', 'm', 't']
1 - ['a', 'e', 'c', 'y', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 'h']
3 - ['p', 'w', 'c', 'y', 's', 's', 'e', 'o']
3 - ['p', 'w', 'c', 'y', 's', 'b', 'e', 'o']
1 - ['a', 'e', 'y', 'a', 'e', 'j', 'x', 'p']
2 - ['a', 'e', 'o', 'y', 'm', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 'l']
1 - ['k', 'r', 'y', 'z', 'y', 's', 'e', 'r']
3 - ['k', 'r', 'o', 'z', 'y', 's', 'e', 'o']
2 - ['k', 'r', 'y', 'a', 'e', 'j', 'm', 't']
2 - ['a', 'e', 'o', 'y', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 't']
2 - ['k', 'r', 'y', 'a', 'e', 'b', 'm', 't']
1 - ['a', 'e', 'c', 'y', 's', 'b', 'm', 't']
2 - ['p', 'w', 'c', 'y', 's', 'b', 'm', 'h']
3 - ['k', 'r', 'y', 'a', 'e', 'j', 'e', 'o']
1 - ['a', 'e', 'o', 'z', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 'h']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'e', 'h']
3 - ['k', 'r', 'y', 'a', 'e', 'j', 'e', 'o']
2 - ['k', 'r', 'y', 'a', 'e', 'b', 'm', 't']
1 - ['a', 'e', 'c', 'y', 's', 'b', 'm', 't']
2 - ['k', 'r', 'c', 'y', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'z', 'y', 's', 'm', 't']
2 - ['k', 'r', 'y', 'a', 'y', 's', 'e', 'o']
1 - ['k', 'w', 'c', 'y', 's', 'b', 'm', 't']
1 - ['a', 'e', 'o', 'p', 'y', 's', 'm', 't']
1 - ['a', 'w', 'c', 'y', 's', 'b', 'm', 't']
3 - ['p', 'w', 'c', 'y', 's', 's', 'e', 'o']
2 - ['k', 'r', 'y', 'y', 's', 'b', 'm', 't']
1 - ['a', 'w', 'j', 'y', 's', 'b', 'm', 't']
1 - ['k', 'w', 'c', 'y', 's', 'b', 'm', 't']
