Generacion 0
['y', 'w', 's', 'e']
['d', 'v', 'h', 't']
['u', 'u', 'y', 'w']
['y', 'k', 'l', 'b']
['u', 'j', 'i', 'b']
['b', 'm', 'm', 'a']
['h', 't', 'c', 'g']
['j', 'a', 'r', 'j']
['j', 'k', 'q', 'a']
['h', 'j', 'h', 'y']
['p', 't', 'k', 'q']
['l', 'o', 'v', 'z']
['j', 'p', 'z', 'x']
['t', 't', 't', 'y']
['z', 'f', 'g', 'o']
['l', 'i', 'k', 'q']
['c', 'f', 'p', 'd']
['r', 'b', 'u', 'g']
['d', 'm', 'i', 'i']
['n', 'k', 'v', 'x']
['v', 'l', 'v', 'l']
['x', 'r', 'p', 'b']
['y', 'q', 'h', 'o']
['a', 'k', 'k', 'e']
['j', 'k', 's', 'x']
['b', 'd', 'v', 'e']
['x', 'm', 'j', 'w']
['v', 's', 'e', 'b']
['f', 'o', 'q', 'r']
['t', 'n', 'c', 'x']
['w', 'c', 'u', 'r']
['t', 'a', 'z', 'v']
['n', 'd', 'h', 'h']
['c', 'm', 'v', 'z']
['p', 'p', 'q', 'j']
['z', 'm', 'z', 'x']
['e', 'i', 'j', 'k']
['q', 'f', 'w', 't']
['i', 'v', 'k', 'r']
['m', 'g', 'k', 'w']
['q', 't', 'e', 'y']
['i', 'g', 'g', 'h']
['p', 'e', 'w', 'w']
['z', 'p', 'i', 'm']
['g', 'e', 'e', 't']
['n', 'v', 'z', 'v']
['m', 'a', 'r', 'u']
['u', 't', 'w', 'i']
['y', 'o', 'y', 'b']
['s', 't', 'd', 'f']
['h', 'i', 'r', 'p']
['e', 'd', 'f', 'a']
['p', 'g', 'k', 'k']
['v', 'l', 'h', 'e']
['k', 'd', 'g', 'u']
['d', 'q', 'o', 'l']
['k', 'q', 'v', 'v']
['j', 'u', 'p', 'x']
['t', 'e', 'f', 'u']
['q', 'z', 'm', 'd']
['j', 'z', 'd', 'q']
['y', 'r', 't', 'd']
['p', 'i', 'k', 'm']
['g', 'a', 'm', 'n']
['v', 'i', 'e', 'u']
['a', 'y', 'q', 'g']
['v', 'l', 'w', 'k']
['o', 'l', 'n', 'j']
['w', 's', 'b', 'v']
['a', 'p', 't', 'e']
['c', 'y', 'z', 'k']
['p', 'i', 'a', 'l']
['e', 'g', 'g', 'j']
['w', 'l', 'j', 'v']
